title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Donnie Darko,113,Drama;Sci-Fi;Thriller,Richard Kelly,Richard Kelly,Jake Gyllenhaal;Jena Malone;Mary McDonnell,8.1,"678,726"
Demonen,117,Crime;Drama;Horror,Henri-Georges Clouzot,Pierre Boileau;Thomas Narcejac,Simone Signoret;Véra Clouzot;Paul Meurisse,8.1,"54,433"
The Terminator,107,Action;Sci-Fi,James Cameron,Gale Anne Hurd;James Cameron,Arnold Schwarzenegger;Linda Hamilton;Michael Biehn,8.0,"703,792"
Dead Poets Society,128,Comedy;Drama,Peter Weir,Tom Schulman,Robin Williams;Robert Sean Leonard;Ethan Hawke,8.1,"348,736"
Gandhi,191,Biography;Drama;History,Richard Attenborough,John Briley,Ben Kingsley;John Gielgud;Rohini Hattangadi,8.1,"201,890"
Sanjuro,96,Action;Crime;Drama,Akira Kurosawa,Hideo Oguni;Ryûzô Kikushima,Toshirô Mifune;Tatsuya Nakadai;Keiju Kobayashi,8.2,"25,464"
La haine,98,Crime;Drama,Mathieu Kassovitz,Mathieu Kassovitz,Vincent Cassel;Hubert Koundé;Saïd Taghmaoui,8.1,"127,524"
Groundhog Day,101,Comedy;Fantasy;Romance,Harold Ramis,Danny Rubin;Harold Ramis,Bill Murray;Andie MacDowell;Chris Elliott,8.0,"523,235"
Le notti di Cabiria,110,Drama,Federico Fellini,Ennio Flaiano;Federico Fellini,Giulietta Masina;François Périer;Franca Marzi,8.1,"37,090"
Blade Runner 2049,164,Drama;Mystery;Sci-Fi,Denis Villeneuve,Michael Green;Hampton Fancher,Harrison Ford;Ryan Gosling;Ana de Armas,8.0,"341,055"
La La Land,128,Comedy;Drama;Music,Damien Chazelle,Damien Chazelle,Ryan Gosling;Emma Stone;Rosemarie DeWitt,8.1,"400,661"
The Wizard of Oz,102,Adventure;Family;Fantasy,Victor Fleming;George Cukor,Florence Ryerson;Noel Langley,Judy Garland;Frank Morgan;Ray Bolger,8.0,"340,831"
Jaws,124,Adventure;Drama;Thriller,Steven Spielberg,Peter Benchley;Carl Gottlieb,Roy Scheider;Robert Shaw;Richard Dreyfuss,8.0,"493,193"
The Help,146,Drama,Tate Taylor,Tate Taylor;Kathryn Stockett,Emma Stone;Viola Davis;Octavia Spencer,8.1,"379,666"
Faa yeung nin wa,98,Drama;Romance,Kar-Wai Wong,Kar-Wai Wong,Tony Chiu-Wai Leung;Maggie Cheung;Ping Lam Siu,8.1,"100,357"
Paper Moon,102,Comedy;Crime;Drama,Peter Bogdanovich,Alvin Sargent;Joe David Brown,Ryan O'Neal;Tatum O'Neal;Madeline Kahn,8.1,"35,880"
Gangs of Wasseypur,321,Action;Comedy;Crime,Anurag Kashyap,Anurag Kashyap;Akhilesh Jaiswal,Manoj Bajpayee;Richa Chadha;Nawazuddin Siddiqui,8.2,"65,412"
Mandariinid,87,Drama;War,Zaza Urushadze,Tatjana Mülbeier;Zaza Urushadze,Lembit Ulfsak;Elmo Nüganen;Giorgi Nakashidze,8.2,"30,587"
Before Sunset,80,Drama;Romance,Richard Linklater,Richard Linklater;Julie Delpy,Ethan Hawke;Julie Delpy;Vernon Dobtcheff,8.1,"199,839"
Ah-ga-ssi,144,Drama;Romance;Thriller,Chan-wook Park,Seo-kyeong Jeong;Sarah Waters,Min-hee Kim;Jung-woo Ha;Jin-Woong Cho,8.1,"68,677"
"Paris, Texas",145,Drama,Wim Wenders,L.M. Kit Carson;Sam Shepard,Harry Dean Stanton;Nastassja Kinski;Dean Stockwell,8.1,"70,155"
Guardians of the Galaxy,121,Action;Adventure;Comedy,James Gunn,Nicole Perlman;James Gunn,Chris Pratt;Vin Diesel;Bradley Cooper,8.1,"883,829"
The Bourne Ultimatum,115,Action;Mystery;Thriller,Paul Greengrass,Tony Gilroy;Scott Z. Burns,Matt Damon;Edgar Ramírez;Joan Allen,8.0,"570,088"
A Wednesday,104,Crime;Drama;Mystery,Neeraj Pandey,Neeraj Pandey,Anupam Kher;Naseeruddin Shah;Jimmy Sheirgill,8.2,"65,699"
Pirates of the Caribbean: The Curse of the Black Pearl,143,Action;Adventure;Fantasy,Gore Verbinski,Terry Rossio;Ted Elliott,Johnny Depp;Geoffrey Rush;Orlando Bloom,8.0,"937,931"
PK,153,Comedy;Drama;Sci-Fi,Rajkumar Hirani,Rajkumar Hirani;Abhijat Joshi,Aamir Khan;Anushka Sharma;Sanjay Dutt,8.2,"129,372"
De beste jaren van ons leven,170,Drama;Romance;War,William Wyler,Robert E. Sherwood;MacKinlay Kantor,Myrna Loy;Dana Andrews;Fredric March,8.1,"51,499"
Tenkû no shiro Rapyuta,125,Animation;Adventure;Fantasy,Hayao Miyazaki,Hayao Miyazaki,Anna Paquin;James Van Der Beek;Cloris Leachman,8.1,"121,670"
